usage_id,customer_id,service_type,usage_amount,usage_date,usage_time
49,2529,SMS,778.38,2022-10-29,21:50:22
50,7410,call,556.08,2022-03-16,02:15:24
51,9176,call,661.71,2022-07-07,04:25:37
52,1621,data,866.8,2022-07-14,22:00:57
53,9334,data,150.35,2022-07-17,17:01:25
54,4161,call,280.62,2022-04-16,00:16:53
55,4153,data,356.32,2023-04-30,16:25:54
56,8446,SMS,812.28,2023-10-06,18:15:03
57,9357,data,849.8,2022-09-23,22:25:43
58,5710,call,832.06,2023-03-24,23:20:27
59,6620,data,257.95,2023-03-31,01:42:49
60,7603,data,901.96,2022-04-22,16:44:11
61,9630,data,358.29,2023-06-13,11:15:17
62,2026,call,413.07,2023-04-18,06:02:46
63,8459,SMS,990.16,2022-11-07,07:07:13
64,182,call,324.08,2023-12-10,05:42:34
65,6296,call,963.46,2023-11-30,16:07:19
66,4106,SMS,183.8,2022-05-04,03:26:01
67,3301,data,835.08,2022-03-01,12:22:43
68,3159,data,747.39,2023-07-23,05:33:09
69,2271,call,682.45,2022-06-30,08:41:18
70,4921,call,152.55,2022-05-06,06:54:57
71,4333,data,808.48,2022-01-29,09:22:02
72,3535,SMS,664.5,2023-06-10,09:09:04
73,1025,SMS,756.12,2022-09-15,23:45:35
74,9558,SMS,475.21,2022-08-29,23:00:55
75,5042,data,293.92,2023-09-17,23:34:08
76,3697,data,494.51,2023-01-18,01:14:55
77,1856,call,627.37,2023-09-25,18:37:37
78,7611,data,815.66,2023-09-15,03:53:49
79,6245,call,326.03,2022-12-27,14:36:57
80,2302,call,666.77,2022-09-27,20:10:36
81,8761,data,461.86,2023-08-27,19:05:55
82,1934,SMS,80.31,2022-12-24,21:04:45
83,6036,SMS,251.41,2022-08-31,00:08:18
84,2167,call,991.62,2022-07-18,04:30:26
85,9765,data,258.05,2023-08-09,15:46:23
86,6497,SMS,370.62,2023-02-14,15:01:40
87,6863,call,463.48,2023-05-24,03:43:31
88,8364,data,198.91,2022-04-18,16:57:45
89,7092,SMS,207.12,2023-05-05,08:45:11
90,7340,SMS,639.0,2023-03-23,08:24:51
91,9420,call,878.9,2023-06-04,23:22:34
92,1884,call,736.83,2022-02-28,23:40:17
93,9043,SMS,637.5,2022-07-26,10:08:39
94,1234,SMS,207.35,2023-04-27,05:58:50
95,7505,SMS,351.83,2022-01-04,15:43:13
96,4663,data,271.28,2022-04-14,17:12:37
97,7320,data,705.55,2022-08-06,04:45:54
98,2205,SMS,542.43,2022-05-30,17:41:26
99,3702,data,511.89,2022-04-04,05:13:37
100,1625,data,348.42,2022-09-10,15:06:05
101,7226,SMS,605.15,2023-05-08,07:53:31
102,2053,SMS,338.88,2022-01-16,01:44:46
103,5328,call,876.8,2022-03-16,02:20:45
104,130,data,694.47,2022-06-08,01:30:01
105,5944,SMS,931.32,2022-11-30,08:22:37
106,5259,data,425.02,2022-04-27,16:14:15
107,5005,SMS,190.05,2022-06-19,14:18:00
108,7272,SMS,661.77,2022-08-07,14:58:55
109,9977,SMS,716.82,2023-10-01,15:42:38
110,8784,call,414.95,2023-01-10,04:35:54
111,8693,call,614.25,2022-02-02,07:44:39
112,5649,data,434.21,2023-11-15,03:44:36
113,191,SMS,821.34,2023-02-17,13:30:00
114,4661,call,653.63,2023-02-17,06:30:25
115,5444,call,321.33,2023-11-20,22:48:47
116,5367,call,385.31,2022-01-19,10:44:10
117,6614,data,158.39,2023-08-29,09:32:33
118,6113,SMS,976.9,2022-01-18,19:07:17
119,301,data,903.78,2023-12-23,13:16:27
120,4634,data,726.27,2023-02-02,14:37:17
121,7063,SMS,252.08,2023-03-25,11:14:38
122,6847,call,381.69,2022-06-29,03:38:14
123,2517,SMS,136.55,2022-01-31,11:58:27
124,5243,call,792.07,2023-07-14,14:07:17
125,8726,data,195.83,2022-06-14,07:33:31
126,4275,call,241.11,2023-04-15,06:41:10
127,5271,data,124.16,2022-08-23,17:33:15
128,1292,data,74.59,2022-05-04,05:19:35
129,5921,call,6.09,2023-04-03,22:38:27
130,1719,data,882.65,2023-07-25,09:25:52
131,1753,data,329.94,2023-03-07,04:12:48
132,2608,SMS,471.09,2022-09-06,17:38:56
133,9215,call,975.35,2022-07-19,19:59:59
134,6556,call,856.68,2022-03-30,12:43:17
135,2886,SMS,646.31,2023-10-06,19:25:20
136,464,data,837.38,2022-02-08,17:18:52
137,6568,SMS,666.25,2023-12-27,01:31:07
138,6112,call,618.8,2022-03-17,22:51:21
139,542,SMS,578.21,2023-05-10,23:51:22
140,1720,data,465.93,2023-05-03,06:10:50
141,3793,data,861.17,2023-10-30,04:37:39
142,7777,data,115.12,2023-01-04,19:55:49
143,749,data,356.38,2022-02-11,03:55:38
144,9028,call,106.97,2022-11-05,13:23:59
145,9307,call,853.69,2023-04-24,10:09:08
146,489,data,79.43,2022-04-10,19:39:30
147,4097,data,64.34,2023-06-10,21:39:10
148,2762,data,330.94,2022-05-25,15:32:44
149,9680,call,291.32,2023-10-29,11:32:12
150,8842,SMS,47.58,2023-08-10,16:38:22
151,5869,call,96.57,2023-07-06,02:24:46
152,6771,call,772.85,2022-05-29,17:15:18
153,8506,data,1.2,2022-05-12,16:10:42
154,2889,SMS,566.65,2022-08-25,21:01:14
155,1732,call,75.57,2022-08-28,02:17:23
156,1735,call,31.45,2022-12-20,18:35:49
157,3700,data,552.13,2022-07-11,13:35:38
158,5955,call,231.18,2023-02-22,15:28:14
159,4228,data,25.32,2023-06-11,14:30:11
160,9352,call,551.85,2022-10-11,23:06:04
161,9919,SMS,998.0,2023-04-21,05:03:14
162,2031,SMS,939.18,2022-08-18,02:13:13
163,1619,data,156.97,2022-09-07,14:30:42
164,2895,SMS,981.56,2022-09-25,13:15:11
165,7824,call,436.8,2022-09-14,09:27:22
166,2486,SMS,956.72,2022-07-22,01:29:31
167,7536,call,499.57,2022-08-21,07:00:13
168,3654,SMS,54.22,2022-03-19,03:34:48
169,861,data,262.6,2023-12-12,23:08:09
170,8630,data,920.87,2023-10-23,19:18:38
171,5200,call,225.16,2023-01-03,04:36:04
172,6553,call,307.82,2023-10-23,23:37:24
173,9550,call,874.97,2023-04-04,18:43:56
174,7919,SMS,81.89,2022-10-15,16:10:27
175,4593,call,405.18,2022-08-11,17:33:29
176,1611,call,651.16,2022-05-12,16:06:29
177,7671,SMS,145.48,2022-12-29,08:03:06
178,6110,call,718.09,2023-02-10,15:14:54
179,7673,SMS,254.32,2023-10-16,16:58:01
180,4799,data,925.06,2022-05-31,01:42:28
181,7389,SMS,502.36,2023-06-20,01:30:37
182,9009,SMS,23.43,2022-01-19,12:55:39
183,3151,call,896.81,2023-01-02,13:30:02
184,38,call,214.93,2023-04-19,22:28:05
185,3921,SMS,348.28,2023-04-12,00:51:29
186,8941,data,275.66,2023-12-13,06:58:18
187,7869,data,644.99,2022-02-28,19:57:18
188,2501,data,579.06,2022-11-15,11:52:46
189,9129,call,892.78,2022-12-25,17:34:36
190,2083,call,242.2,2022-05-24,09:05:33
191,3843,call,775.58,2022-10-24,23:59:17
192,9481,data,721.9,2023-05-10,12:59:54
193,1050,data,32.64,2022-11-02,04:50:08
194,8783,data,946.01,2022-05-29,14:18:47
195,5944,data,258.13,2022-07-23,23:35:19
196,7632,call,31.05,2022-10-11,21:50:18
197,1245,call,411.12,2023-02-28,17:24:33
198,7800,SMS,110.9,2023-12-07,17:00:37
199,8828,call,303.42,2022-10-04,10:28:59
200,5518,data,558.23,2022-05-20,03:08:14
201,244,data,112.12,2022-06-08,07:04:58
202,5777,data,189.56,2022-03-20,09:10:45
203,6505,data,377.4,2023-04-14,22:57:10
204,7460,SMS,121.31,2022-06-13,08:27:09
205,2940,SMS,568.36,2022-02-16,05:17:47
206,5618,SMS,703.78,2023-03-15,16:19:30
207,8858,data,749.86,2023-09-19,02:57:58
208,8118,call,359.62,2022-07-15,23:34:14
209,7684,SMS,504.7,2023-11-18,00:23:30
210,5589,SMS,703.53,2023-05-20,01:22:33
211,8356,data,34.75,2022-04-22,08:25:51
212,1562,SMS,96.46,2022-07-27,14:02:24
213,5035,SMS,698.14,2022-03-27,08:45:31
214,595,SMS,940.92,2022-11-05,19:44:20
215,8734,SMS,751.12,2023-06-19,08:25:58
216,9497,data,816.25,2022-10-25,00:36:44
217,8547,data,370.27,2022-12-28,00:07:30
218,7291,SMS,323.22,2023-09-23,01:28:29
219,4884,call,762.32,2023-08-30,13:02:47
220,2998,data,588.4,2023-03-08,09:33:21
221,1745,data,751.25,2023-11-12,00:24:57
222,2312,call,304.7,2023-09-05,15:41:18
223,3689,SMS,205.39,2022-11-18,11:39:22
224,1825,SMS,33.65,2022-09-26,07:14:34
225,2111,call,750.07,2023-10-16,09:45:48
226,3539,data,523.67,2023-03-02,19:43:18
227,181,SMS,581.79,2022-03-01,04:20:57
228,3833,SMS,398.34,2022-03-10,11:48:21
229,2230,call,627.15,2023-03-11,12:16:59
230,4320,data,682.76,2022-07-04,20:54:06
231,6924,call,448.4,2022-02-20,15:33:46
232,252,data,395.53,2023-10-06,00:52:54
233,9282,call,741.02,2022-02-04,20:56:18
234,3842,call,312.04,2023-11-14,10:43:26
235,8684,data,745.54,2022-04-01,09:24:55
236,4690,data,991.1,2023-04-01,13:13:25
237,3650,SMS,592.34,2023-09-10,07:09:34
238,3884,SMS,106.43,2023-09-23,03:27:52
239,5805,call,44.58,2022-09-10,15:13:48
240,4302,call,438.44,2023-05-13,00:44:05
241,2956,call,850.57,2023-11-13,01:28:43
242,2879,SMS,26.6,2023-05-27,20:51:20
243,1616,SMS,760.46,2023-06-27,01:19:06
244,8365,SMS,622.74,2022-06-06,01:48:51
245,5879,call,925.01,2023-03-17,02:24:36
246,4968,SMS,270.24,2022-09-29,05:24:19
247,3496,data,585.64,2022-01-13,01:31:42
248,9043,call,807.55,2023-02-02,22:04:26
249,6673,data,871.21,2022-12-14,00:23:11
250,4663,data,188.0,2023-11-02,18:21:38
251,5358,call,193.5,2022-09-23,10:31:05
252,9601,SMS,546.59,2023-05-30,18:18:34
253,468,SMS,401.2,2023-10-03,01:01:52
254,2917,call,964.16,2023-12-23,22:22:49
255,6312,SMS,81.43,2023-02-26,03:31:10
256,2612,SMS,302.52,2022-12-04,00:42:15
257,9652,data,580.39,2023-06-04,00:09:56
258,8935,call,437.87,2022-04-08,22:01:22
259,2005,data,479.74,2022-11-10,03:44:15
260,2428,call,600.42,2023-09-07,05:04:04
261,2761,data,61.35,2022-12-18,21:03:59
262,4396,SMS,371.91,2022-12-04,05:00:48
263,6892,SMS,856.56,2022-03-01,06:58:38
264,2756,call,791.53,2022-06-26,18:05:02
265,9303,data,83.31,2022-10-08,00:57:23
266,5147,SMS,473.16,2023-02-10,02:20:44
267,4867,call,665.52,2023-10-21,11:08:21
268,1010,data,911.87,2023-03-20,17:13:05
269,5821,call,456.06,2022-05-08,15:24:24
270,4188,SMS,801.32,2022-12-12,16:14:57
271,5162,data,252.85,2023-11-23,00:05:12
272,7058,SMS,934.24,2022-03-16,01:53:51
273,1430,call,252.9,2023-05-17,06:44:57
274,7994,call,827.7,2023-04-18,08:19:05
275,5693,call,934.13,2023-05-29,17:14:56
276,9812,SMS,539.46,2022-03-04,06:35:05
277,2582,SMS,217.1,2023-07-29,21:01:33
278,5868,data,549.25,2023-09-19,09:44:13
279,4428,data,17.27,2023-10-12,11:56:53
280,4601,SMS,300.65,2022-11-19,10:20:21
281,9467,call,272.49,2022-09-19,17:28:14
282,4146,call,880.37,2022-11-12,11:31:05
283,6132,call,900.91,2022-08-20,06:17:08
284,7788,call,227.61,2022-11-17,22:02:54
285,6960,SMS,587.33,2022-05-23,22:31:28
286,8562,call,155.06,2022-11-10,14:07:38
287,9163,SMS,129.05,2023-04-28,17:09:55
288,718,call,853.15,2022-12-20,09:16:26
289,7904,SMS,878.34,2023-09-01,19:04:40
290,14,data,800.94,2022-08-28,06:15:46
291,1148,data,128.65,2022-06-07,14:54:40
292,9328,SMS,294.62,2023-12-16,13:25:06
293,2801,SMS,937.71,2022-02-04,16:55:11
294,1347,SMS,401.56,2023-08-19,06:53:40
295,1588,SMS,958.74,2022-01-29,12:34:39
296,9268,call,897.66,2022-11-18,08:56:34
297,4983,data,845.6,2022-05-20,20:27:08
298,4964,call,46.22,2023-11-29,07:56:06
299,2284,call,327.4,2023-05-25,06:10:25
300,5634,SMS,686.48,2022-05-29,00:05:07
301,3476,SMS,948.74,2023-01-01,05:36:56
302,2069,SMS,901.66,2022-08-17,11:00:21
303,2737,call,734.32,2023-09-13,08:54:47
304,5092,data,756.59,2022-08-30,18:49:52
305,9313,call,513.55,2023-02-09,13:42:51
306,4636,SMS,431.51,2023-08-26,13:31:22
307,562,call,140.22,2023-08-09,11:00:56
308,1780,data,594.9,2022-01-06,22:42:10
309,9972,call,492.95,2022-11-25,23:49:25
310,8352,SMS,928.37,2022-09-25,09:54:20
311,6843,call,461.27,2023-04-22,18:23:51
312,9618,SMS,480.4,2023-06-23,10:39:34
313,3591,SMS,112.92,2023-06-26,10:26:22
314,2753,data,730.29,2022-11-30,09:25:36
315,1687,SMS,537.37,2023-02-25,04:42:25
316,6206,data,593.96,2023-01-29,14:00:27
317,7843,SMS,814.32,2022-03-12,19:02:14
318,402,SMS,53.63,2023-09-01,13:49:50
319,612,SMS,854.54,2023-07-25,18:09:04
320,709,data,571.53,2023-07-06,19:48:24
321,7671,call,694.66,2023-06-06,07:54:48
322,5723,SMS,4.95,2022-10-27,18:41:34
323,5870,data,815.99,2022-09-17,20:10:49
324,7532,data,448.42,2022-11-30,13:07:14
325,2534,call,534.98,2023-06-09,16:58:58
326,1950,SMS,148.35,2023-06-14,01:41:57
327,7031,SMS,298.29,2023-12-12,04:13:13
328,7934,SMS,780.35,2023-12-07,23:31:51
329,1419,SMS,685.12,2023-12-06,15:07:43
330,6524,call,973.43,2022-03-16,14:42:26
331,4815,SMS,250.13,2023-12-28,21:12:32
332,3668,data,609.49,2022-02-21,09:23:56
333,228,data,342.06,2023-08-02,09:30:24
334,9418,data,92.42,2023-04-02,11:48:56
335,1233,data,679.35,2022-01-27,09:53:22
336,4675,SMS,364.07,2023-02-08,05:58:24
337,2148,SMS,556.57,2023-05-03,00:18:19
338,6539,call,824.3,2023-05-29,21:28:04
339,1028,data,564.02,2022-02-14,19:59:54
340,3525,data,759.65,2023-07-08,04:17:09
341,123,SMS,554.66,2023-06-30,11:56:51
342,1107,SMS,465.35,2022-11-13,23:46:37
343,3113,SMS,440.89,2022-05-08,14:41:36
344,9010,data,385.62,2022-03-22,08:12:09
345,9194,data,628.18,2022-06-20,07:44:08
346,3805,SMS,419.3,2023-10-03,19:07:46
347,4084,data,773.59,2022-04-12,14:13:10
348,7241,SMS,428.27,2022-09-20,23:09:44
349,9186,SMS,146.04,2023-12-21,14:33:05
350,8488,SMS,248.25,2023-01-06,02:06:29
351,715,call,525.21,2022-06-16,11:55:06
352,6924,data,249.14,2022-05-28,01:32:17
353,9742,data,377.12,2022-11-25,06:14:02
354,9390,data,495.73,2023-05-19,09:17:09
355,2368,call,377.17,2023-04-03,09:35:41
356,322,SMS,196.61,2022-04-05,16:14:29
357,9475,data,613.52,2023-06-01,06:25:40
358,2902,SMS,261.3,2023-10-13,14:36:33
359,5932,call,857.98,2022-10-22,04:32:44
360,4228,call,556.37,2022-02-08,14:09:34
361,8260,call,824.15,2022-10-18,11:04:04
362,7852,data,297.29,2023-11-30,18:32:33
363,9419,data,485.56,2022-05-04,13:19:10
364,8100,SMS,666.84,2023-08-22,10:30:07
365,1431,SMS,69.31,2023-10-16,05:59:08
366,7810,SMS,705.37,2022-05-29,09:39:43
367,4831,call,4.0,2022-05-05,11:40:17
368,5698,data,842.78,2022-06-25,03:38:11
369,1340,call,495.81,2022-10-19,04:59:55
370,9326,call,578.1,2022-08-05,01:39:56
371,8521,call,467.58,2023-06-21,17:41:23
372,74,call,5.35,2023-03-11,12:37:18
373,232,call,140.25,2022-10-30,16:08:42
374,7419,call,130.29,2022-11-23,07:53:34
375,106,data,472.68,2023-12-14,14:25:35
376,3899,call,260.64,2023-10-06,01:09:15
377,7201,data,284.35,2023-07-14,06:22:05
378,6460,SMS,666.45,2022-08-12,04:25:35
379,1101,SMS,748.5,2023-12-25,09:27:42
380,9848,data,470.62,2022-10-21,00:25:23
381,9424,data,36.6,2022-04-23,21:31:58
382,1067,call,56.12,2022-02-24,04:53:16
383,8148,data,179.53,2022-01-06,04:38:22
384,7819,SMS,64.36,2022-01-24,19:33:05
385,3264,data,452.17,2023-10-02,21:25:03
386,4894,call,651.55,2023-03-31,09:09:04
387,8174,data,996.0,2022-07-28,01:47:54
388,9,data,458.86,2023-04-10,09:52:12
389,9641,data,104.1,2023-03-04,23:35:30
390,5902,data,623.3,2023-10-06,02:32:49
391,2828,data,73.21,2022-04-21,21:04:44
392,3086,call,612.42,2023-05-09,16:31:03
393,8885,data,470.66,2023-08-27,09:10:53
394,4594,SMS,455.66,2023-05-27,19:15:49
395,2628,data,681.94,2022-04-02,12:07:46
396,8854,data,380.53,2023-08-26,02:13:37
397,8050,SMS,50.67,2023-10-18,10:59:49
398,8895,call,73.36,2022-12-05,03:46:46
399,647,SMS,338.53,2023-02-25,20:07:33
400,5402,call,288.5,2023-03-03,11:31:16
401,3491,call,539.82,2022-12-11,07:48:11
402,5562,SMS,938.5,2023-02-28,09:26:38
403,9254,SMS,597.79,2023-09-11,23:00:13
404,597,data,13.18,2022-05-18,23:32:02
405,9815,SMS,666.71,2022-04-30,18:44:07
406,7489,SMS,950.19,2022-09-23,07:00:21
407,3313,call,139.15,2023-04-07,09:51:30
408,394,call,952.4,2023-01-30,08:07:55
409,6322,SMS,341.84,2023-06-01,15:43:38
410,4389,data,953.52,2023-08-31,23:44:52
411,9521,data,528.42,2022-06-29,03:51:54
412,5302,call,326.33,2023-11-24,19:49:24
413,2956,SMS,336.0,2023-11-30,12:49:05
414,2596,SMS,983.24,2023-09-18,19:58:52
415,8165,data,848.1,2022-06-16,00:17:45
416,2628,data,907.67,2022-07-19,07:38:09
417,6462,SMS,559.93,2023-05-19,01:55:07
418,1214,SMS,186.52,2022-04-21,01:02:54
419,8106,SMS,148.08,2023-03-26,18:52:04
420,6155,call,143.71,2022-07-13,22:57:26
421,8061,call,589.38,2022-07-18,02:41:01
422,9116,call,402.97,2022-07-07,09:15:53
423,9867,call,712.26,2022-01-22,09:02:27
424,7687,SMS,30.45,2023-09-27,23:08:15
425,9476,SMS,402.28,2023-08-25,14:36:46
426,6448,data,323.69,2023-08-22,12:27:27
427,7665,data,183.11,2022-01-17,02:53:56
428,6255,call,648.46,2023-04-05,10:25:09
429,8827,call,993.3,2023-08-23,15:57:22
430,1091,call,12.62,2022-09-28,08:44:58
431,6186,call,859.11,2023-06-05,02:54:00
432,6957,call,723.6,2023-08-17,23:48:19
433,3889,call,373.56,2023-01-18,17:40:53
434,4092,SMS,924.53,2023-03-09,08:18:38
435,5206,data,216.77,2023-11-12,22:57:14
436,7367,SMS,514.96,2022-08-09,05:54:17
437,9337,SMS,396.61,2023-01-09,12:02:57
438,7636,data,799.65,2022-02-28,23:42:46
439,9847,SMS,663.3,2023-06-28,00:45:02
440,2994,call,847.13,2022-12-28,04:12:03
441,4310,SMS,876.3,2023-03-30,08:54:50
442,85,data,787.59,2022-09-28,16:22:22
443,8252,data,512.04,2023-05-20,20:25:21
444,9003,data,562.57,2023-11-12,20:04:35
445,6934,call,552.33,2023-05-20,15:31:02
446,3385,SMS,280.33,2023-08-04,04:45:04
447,9410,SMS,655.46,2023-09-08,10:11:46
448,1213,call,155.04,2023-10-13,18:12:43
449,6161,call,533.47,2022-04-26,16:06:58
450,5675,SMS,988.13,2023-09-03,13:53:35
451,2087,SMS,147.23,2023-07-14,01:17:22
452,8901,call,742.06,2023-04-12,04:37:42
453,1792,data,695.17,2023-12-18,06:32:33
454,9264,data,548.67,2022-08-16,06:54:17
455,3009,SMS,943.81,2022-11-07,11:11:44
456,8577,SMS,53.8,2023-06-17,07:28:39
457,6759,data,351.11,2022-06-24,11:10:29
458,4320,call,530.85,2022-05-05,12:10:31
459,1420,SMS,503.93,2023-11-11,02:37:43
460,8894,call,588.64,2022-02-28,23:49:48
461,1101,data,839.53,2022-11-17,07:19:58
462,2095,SMS,547.52,2022-09-09,17:53:51
463,6268,data,124.84,2023-05-31,18:04:19
464,6919,SMS,441.12,2023-12-14,17:51:03
465,9520,data,245.51,2023-10-25,02:06:39
466,668,data,568.3,2023-06-12,23:53:09
467,3667,call,702.88,2023-03-03,00:44:24
468,9022,call,54.28,2023-03-14,07:24:15
469,9163,data,611.42,2022-08-18,17:24:09
470,7292,SMS,466.43,2022-02-21,09:54:28
471,8399,data,927.57,2022-11-02,09:43:37
472,1812,data,740.51,2023-03-30,21:13:18
473,9399,data,403.2,2023-06-13,10:32:41
474,2697,SMS,10.38,2023-10-25,11:58:36
475,4553,call,913.71,2022-12-01,06:30:06
476,8169,SMS,714.24,2022-12-02,23:51:38
477,428,data,263.39,2022-11-06,06:45:34
478,1471,call,917.85,2022-07-10,20:15:20
479,4579,call,616.63,2022-04-23,17:43:16
480,4987,SMS,766.79,2023-08-11,15:54:00
481,8478,data,814.55,2023-10-22,03:21:56
482,1075,call,508.84,2023-04-28,12:39:26
483,6036,data,230.01,2023-11-03,02:25:05
484,408,data,371.33,2022-03-30,21:14:58
485,9179,data,796.62,2023-04-15,21:20:53
486,2203,call,909.15,2022-02-01,23:11:08
487,7783,SMS,733.12,2022-10-13,12:23:04
488,9408,data,388.96,2022-11-23,23:53:05
489,2313,call,290.46,2022-11-11,20:18:38
490,8174,call,391.05,2023-09-11,20:21:04
491,5832,SMS,790.21,2023-10-11,09:52:01
492,874,call,977.96,2023-02-07,08:05:31
493,9282,call,127.28,2022-06-10,16:57:26
494,5286,SMS,10.12,2022-03-12,05:37:47
495,2740,SMS,246.41,2022-05-28,12:26:48
496,1060,data,668.82,2023-09-07,05:50:17
497,6570,data,642.81,2023-01-11,23:48:41
498,6674,data,272.31,2023-06-21,12:26:41
499,4710,SMS,709.24,2022-06-20,22:03:52
500,655,data,285.57,2023-01-09,00:24:52
501,7196,call,172.13,2022-12-22,07:51:28
502,8961,call,575.22,2022-11-12,17:55:04
503,6764,call,853.0,2022-12-19,09:52:30
504,6435,SMS,526.53,2022-02-09,06:44:31
505,184,SMS,838.39,2023-11-11,18:21:50
506,8475,call,871.1,2022-06-13,16:22:51
507,84,SMS,109.86,2023-12-25,05:25:35
508,6557,SMS,360.35,2022-11-15,20:23:05
509,2665,data,947.05,2022-07-06,04:19:08
510,10000,SMS,810.89,2022-12-06,20:15:45
511,8983,SMS,268.43,2022-03-25,02:36:34
512,3644,call,970.05,2023-07-21,04:54:51
513,3095,SMS,598.28,2023-08-29,23:01:23
514,1575,call,66.24,2023-02-18,19:23:52
515,9244,SMS,526.73,2022-09-13,09:33:32
516,8590,call,297.98,2022-04-16,13:03:45
517,5417,data,19.58,2022-09-12,21:22:53
518,9126,data,749.03,2023-10-09,01:17:50
519,3326,call,524.23,2023-11-13,02:25:04
520,5965,call,736.43,2023-05-11,01:43:55
521,6357,call,381.34,2022-09-03,18:54:07
522,545,data,236.64,2022-09-12,23:05:47
523,7381,SMS,429.63,2023-06-14,02:59:22
524,2814,call,195.58,2022-06-08,01:39:29
525,9211,data,935.63,2023-10-28,03:01:20
526,1791,SMS,265.02,2023-05-18,11:41:06
527,4255,data,94.33,2023-04-06,00:37:48
528,7208,data,958.63,2023-09-11,11:26:26
529,2150,SMS,315.47,2022-04-15,14:07:18
530,6929,SMS,666.82,2023-12-11,01:34:54
531,7044,data,817.56,2023-08-30,12:55:11
532,5386,SMS,238.09,2023-04-04,19:23:45
533,5260,call,846.18,2023-01-09,21:39:54
534,5134,call,194.22,2023-05-10,11:16:30
535,1248,SMS,833.26,2022-04-23,02:26:55
536,1032,data,169.98,2023-01-12,22:28:51
537,8831,data,810.36,2023-03-25,11:39:45
538,9261,SMS,673.43,2023-05-17,15:45:01
539,4063,data,713.71,2023-01-13,10:40:41
540,7075,call,272.79,2022-04-13,03:12:51
541,1909,SMS,707.92,2023-08-04,01:35:17
542,4579,call,801.67,2022-06-22,23:18:13
543,710,SMS,894.49,2023-01-28,02:00:51
544,8421,call,446.17,2022-04-08,01:01:18
545,273,SMS,387.87,2023-05-04,22:24:17
546,7727,data,528.17,2022-09-24,16:38:34
547,3279,SMS,586.09,2023-06-11,21:01:01
548,6803,data,127.64,2023-01-12,17:31:41
549,8105,call,592.33,2023-02-01,18:06:13
550,2819,data,243.42,2022-01-28,12:47:47
551,8466,SMS,193.55,2023-06-30,16:00:17
552,5320,SMS,414.41,2023-06-19,00:32:44
553,9552,SMS,451.37,2023-06-27,05:09:32
554,6042,SMS,121.88,2022-09-05,23:02:34
555,6056,call,259.06,2022-10-07,05:43:21
556,9168,call,385.53,2022-02-03,22:02:40
557,7495,call,674.04,2023-01-09,19:11:40
558,5840,SMS,653.25,2023-06-13,21:59:49
559,8887,call,562.94,2023-10-13,06:38:31
560,8461,call,416.81,2023-12-03,10:20:40
561,7218,SMS,324.3,2022-01-22,22:12:43
562,9687,SMS,700.63,2022-09-21,20:18:31
563,9475,SMS,798.47,2022-08-18,06:18:41
564,2005,data,915.57,2023-02-14,20:28:09
565,6166,SMS,989.58,2023-01-10,11:30:00
566,9672,call,581.67,2023-01-07,08:38:24
