billing_id,customer_id,billing_amount,billing_date,due_date,payment_status,plan_type,latest_billed_date
58,58,192.19,2022-04-13,2022-07-08,Paid,Unlimited,2023-03-14
59,59,133.44,2023-07-04,2022-05-11,Paid,Basic,2023-05-12
60,60,185.77,2022-02-22,2022-05-02,Due,Unlimited,2023-09-23
61,61,164.76,2023-03-31,2023-11-14,Paid,Unlimited,2023-09-30
62,62,60.22,2023-04-17,2023-10-28,Due,Unlimited,2023-12-08
63,63,150.39,2022-10-30,2022-10-30,Due,Premium,2023-01-20
64,64,44.35,2023-01-14,2023-07-17,Paid,Premium,2023-11-09
65,65,57.61,2023-09-30,2022-05-29,Due,Basic,2023-07-21
66,66,157.64,2022-01-23,2023-10-06,Paid,Unlimited,2023-11-13
67,67,191.91,2022-11-04,2023-07-18,Paid,Unlimited,2023-12-27
68,68,94.14,2023-10-24,2022-08-13,Paid,Basic,2023-09-14
69,69,76.02,2023-03-13,2023-03-27,Due,Unlimited,2023-10-29
70,70,30.55,2022-11-01,2022-12-20,Paid,Premium,2023-09-20
71,71,188.74,2023-10-25,2023-03-13,Due,Premium,2023-08-25
72,72,162.61,2022-06-14,2023-01-06,Due,Basic,2023-12-18
73,73,35.56,2023-05-01,2023-12-17,Paid,Basic,2023-01-08
74,74,111.06,2023-06-26,2022-06-21,Paid,Premium,2023-11-10
75,75,155.89,2023-05-28,2023-12-02,Paid,Premium,2023-06-21
76,76,77.36,2023-07-25,2022-11-08,Due,Premium,2023-10-15
77,77,31.32,2022-11-19,2022-12-12,Paid,Unlimited,2023-03-12
78,78,137.08,2023-09-08,2022-11-25,Due,Unlimited,2023-02-14
79,79,134.35,2022-04-28,2023-02-22,Due,Unlimited,2023-04-13
80,80,56.09,2023-05-24,2023-05-05,Due,Basic,2023-12-28
81,81,36.68,2023-07-14,2023-02-21,Paid,Unlimited,2023-04-30
82,82,182.0,2023-12-19,2023-01-15,Paid,Premium,2023-12-30
83,83,152.38,2022-03-29,2023-04-26,Due,Unlimited,2023-09-17
84,84,189.47,2023-07-30,2022-12-14,Paid,Premium,2023-05-29
85,85,191.75,2023-10-17,2023-06-17,Paid,Basic,2023-06-27
86,86,148.07,2023-10-06,2022-01-20,Due,Premium,2023-09-16
87,87,43.06,2023-09-15,2022-07-23,Paid,Basic,2023-08-05
88,88,48.1,2023-03-20,2023-06-10,Paid,Basic,2023-07-07
89,89,186.1,2023-12-13,2023-11-14,Due,Premium,2023-05-24
90,90,62.83,2023-03-13,2022-11-04,Due,Basic,2023-05-31
91,91,127.5,2022-11-14,2022-03-05,Due,Unlimited,2023-02-17
92,92,110.21,2022-09-08,2022-09-22,Due,Unlimited,2023-08-03
93,93,138.11,2023-08-26,2022-12-19,Paid,Premium,2023-10-24
94,94,161.05,2022-01-03,2023-01-13,Paid,Basic,2023-06-09
95,95,124.17,2022-05-16,2022-03-04,Paid,Basic,2023-02-18
96,96,28.06,2023-05-15,2024-01-09,Paid,Unlimited,2023-02-02
97,97,76.5,2022-09-01,2022-06-26,Due,Basic,2023-08-28
98,98,101.25,2023-11-05,2023-02-18,Paid,Basic,2023-01-17
99,99,146.0,2022-05-05,2023-11-25,Paid,Premium,2023-02-03
100,100,48.55,2022-04-10,2022-03-20,Due,Basic,2023-10-15
101,101,158.3,2022-12-01,2023-11-22,Due,Basic,2023-07-18
102,102,86.35,2022-11-20,2022-04-04,Due,Basic,2023-06-23
103,103,93.09,2023-07-01,2023-02-09,Paid,Premium,2023-11-28
104,104,126.56,2022-04-30,2023-08-07,Due,Basic,2023-07-15
105,105,142.21,2023-04-04,2022-04-22,Due,Basic,2023-05-12
106,106,174.51,2023-09-09,2024-01-01,Paid,Unlimited,2023-07-08
107,107,187.3,2023-10-16,2022-04-15,Due,Basic,2023-08-02
108,108,164.2,2023-07-06,2022-01-21,Paid,Unlimited,2023-01-30
109,109,29.79,2023-04-17,2022-06-26,Paid,Premium,2023-05-22
110,110,189.53,2022-05-23,2022-12-17,Due,Basic,2023-10-27
111,111,53.81,2023-09-08,2022-11-24,Due,Unlimited,2023-04-24
112,112,29.03,2022-10-31,2022-04-29,Due,Premium,2023-12-09
113,113,131.17,2022-11-27,2023-02-06,Paid,Unlimited,2023-12-26
114,114,133.15,2023-03-16,2022-04-23,Paid,Premium,2023-07-23
115,115,156.44,2022-01-12,2022-07-24,Due,Basic,2023-10-30
116,116,111.11,2022-08-19,2022-07-04,Paid,Basic,2023-03-19
117,117,47.86,2022-07-04,2023-10-09,Paid,Unlimited,2023-09-12
118,118,186.52,2023-04-02,2023-08-22,Due,Basic,2023-07-08
119,119,93.02,2022-09-23,2023-08-11,Due,Premium,2023-04-20
120,120,36.39,2022-10-13,2022-08-21,Paid,Unlimited,2023-01-15
121,121,129.74,2023-09-04,2023-08-08,Paid,Basic,2023-03-03
122,122,118.0,2023-01-17,2023-11-30,Due,Unlimited,2023-08-04
123,123,196.55,2023-02-20,2024-01-05,Due,Basic,2023-10-22
124,124,38.6,2023-02-22,2024-01-13,Due,Premium,2023-11-13
125,125,101.05,2022-06-25,2022-12-09,Due,Unlimited,2023-01-04
126,126,20.48,2023-03-02,2024-01-07,Paid,Premium,2023-09-07
127,127,193.6,2022-05-08,2023-11-09,Paid,Premium,2023-01-06
128,128,64.56,2022-07-05,2023-03-21,Paid,Premium,2023-06-10
129,129,109.87,2022-11-07,2023-11-18,Paid,Premium,2023-08-16
130,130,89.18,2022-05-17,2022-05-18,Due,Unlimited,2023-11-22
131,131,75.41,2022-04-09,2022-12-06,Due,Premium,2023-11-25
132,132,87.35,2023-05-09,2022-08-04,Due,Unlimited,2023-06-13
133,133,171.22,2022-08-04,2023-11-22,Due,Basic,2023-03-08
134,134,43.78,2022-11-09,2023-01-21,Paid,Basic,2023-08-04
135,135,159.25,2023-07-14,2023-03-27,Due,Basic,2023-01-11
136,136,196.07,2023-04-04,2023-01-04,Paid,Unlimited,2023-06-10
137,137,57.11,2022-12-14,2023-05-08,Paid,Unlimited,2023-07-02
138,138,83.02,2023-10-25,2023-04-11,Paid,Basic,2023-07-04
139,139,75.54,2023-05-10,2023-11-06,Due,Premium,2023-01-17
140,140,51.47,2023-01-14,2023-08-09,Due,Premium,2023-12-03
141,141,186.89,2022-09-07,2022-07-01,Paid,Unlimited,2023-06-03
142,142,72.39,2022-05-19,2023-11-13,Due,Premium,2023-07-24
143,143,170.75,2023-11-06,2023-05-13,Due,Basic,2023-03-09
144,144,104.78,2023-03-23,2022-12-12,Paid,Basic,2023-01-17
145,145,87.08,2022-05-18,2022-04-14,Due,Unlimited,2023-02-28
146,146,134.45,2023-11-06,2022-10-20,Due,Premium,2023-03-11
147,147,148.77,2022-01-06,2022-06-23,Paid,Unlimited,2023-10-07
148,148,114.36,2022-01-11,2023-02-22,Paid,Unlimited,2023-07-18
149,149,123.12,2022-11-22,2023-07-22,Due,Unlimited,2023-04-21
150,150,67.39,2022-09-14,2023-03-26,Due,Basic,2023-10-24
151,151,104.72,2023-09-23,2022-07-20,Paid,Premium,2023-07-26
152,152,126.94,2022-11-02,2023-09-09,Due,Unlimited,2023-11-19
153,153,168.01,2022-11-04,2022-06-28,Due,Basic,2023-07-11
154,154,94.32,2022-12-11,2022-02-02,Paid,Unlimited,2023-07-27
155,155,86.29,2022-12-27,2023-11-22,Paid,Unlimited,2023-02-03
156,156,57.94,2023-11-28,2023-10-09,Paid,Premium,2023-05-29
157,157,83.63,2023-08-16,2023-06-25,Due,Basic,2023-10-27
158,158,176.64,2023-04-11,2023-02-19,Paid,Basic,2023-11-01
159,159,50.83,2022-04-23,2023-02-18,Paid,Premium,2023-11-11
160,160,62.74,2023-10-28,2022-05-02,Due,Unlimited,2023-10-22
161,161,59.07,2023-07-14,2022-10-21,Due,Basic,2023-06-13
162,162,47.22,2023-12-08,2022-10-07,Due,Premium,2023-10-02
163,163,62.44,2023-06-30,2022-08-29,Paid,Basic,2023-07-01
164,164,159.51,2023-04-11,2023-12-30,Due,Basic,2023-08-17
165,165,31.12,2023-10-28,2022-04-27,Due,Unlimited,2023-03-04
166,166,25.03,2022-06-22,2022-09-01,Paid,Premium,2023-11-24
167,167,164.7,2022-02-09,2022-06-06,Paid,Premium,2023-08-05
168,168,128.3,2022-11-10,2022-03-06,Due,Premium,2023-07-20
169,169,152.88,2023-12-17,2023-11-28,Paid,Basic,2023-01-26
170,170,191.7,2022-12-15,2022-12-09,Due,Basic,2023-08-25
171,171,69.61,2023-11-30,2023-01-18,Paid,Unlimited,2023-05-03
172,172,85.08,2022-07-14,2022-08-13,Due,Premium,2023-03-12
173,173,52.26,2022-01-21,2022-10-23,Due,Unlimited,2023-07-22
174,174,160.56,2022-05-11,2022-06-17,Paid,Premium,2023-12-08
175,175,156.47,2023-02-15,2022-04-15,Paid,Unlimited,2023-03-21
176,176,94.75,2022-09-03,2023-10-08,Paid,Unlimited,2023-03-17
177,177,46.84,2023-06-28,2022-11-26,Paid,Basic,2023-10-14
178,178,177.96,2022-10-16,2022-05-13,Paid,Premium,2023-07-26
179,179,136.04,2022-09-12,2023-09-12,Paid,Premium,2023-05-29
180,180,125.31,2022-02-12,2023-01-03,Due,Basic,2023-06-03
181,181,49.6,2023-12-04,2022-12-06,Paid,Unlimited,2023-11-29
182,182,139.7,2022-05-10,2023-06-17,Paid,Basic,2023-12-30
183,183,85.4,2022-12-12,2024-01-06,Due,Unlimited,2023-02-11
184,184,101.62,2022-08-31,2022-05-19,Paid,Basic,2023-07-11
185,185,130.06,2023-02-01,2022-08-10,Due,Unlimited,2023-03-30
186,186,35.36,2022-11-02,2023-07-03,Paid,Basic,2023-07-19
187,187,28.53,2023-08-09,2022-10-07,Paid,Basic,2023-12-26
188,188,170.71,2023-08-26,2022-06-11,Paid,Premium,2023-11-19
189,189,89.82,2023-09-02,2022-07-11,Due,Basic,2023-12-11
190,190,180.06,2023-01-07,2022-05-16,Paid,Premium,2023-10-30
191,191,155.25,2022-11-23,2022-05-01,Due,Unlimited,2023-07-11
192,192,107.66,2022-07-22,2022-11-10,Due,Unlimited,2023-09-01
193,193,52.79,2023-03-06,2023-07-23,Due,Unlimited,2023-03-30
194,194,118.93,2022-01-03,2022-01-19,Paid,Basic,2023-08-23
195,195,26.03,2022-02-01,2024-01-12,Due,Unlimited,2023-03-08
196,196,132.38,2022-05-07,2022-09-04,Paid,Unlimited,2023-07-13
197,197,83.29,2023-01-10,2023-11-09,Due,Unlimited,2023-06-30
198,198,182.78,2023-06-23,2023-11-09,Due,Premium,2023-08-25
199,199,71.55,2022-01-14,2023-07-10,Paid,Basic,2023-04-14
200,200,178.82,2022-09-02,2022-07-30,Paid,Basic,2023-02-23
201,201,50.41,2023-09-06,2022-02-22,Due,Basic,2023-10-01
202,202,139.68,2022-08-01,2023-10-12,Due,Premium,2023-06-24
203,203,89.93,2022-05-19,2023-01-20,Paid,Premium,2023-01-25
204,204,147.9,2023-06-20,2023-10-15,Paid,Premium,2023-12-09
205,205,190.97,2022-08-02,2023-09-11,Due,Basic,2023-10-08
206,206,39.83,2023-12-14,2022-03-13,Paid,Basic,2023-01-28
207,207,155.76,2022-02-26,2023-08-06,Paid,Unlimited,2023-07-23
208,208,190.99,2022-07-26,2023-11-19,Due,Unlimited,2023-03-31
209,209,193.09,2023-08-28,2023-10-01,Due,Unlimited,2023-05-14
210,210,134.29,2023-08-25,2023-06-13,Paid,Basic,2023-11-18
211,211,164.66,2022-10-26,2023-11-08,Due,Basic,2023-11-11
212,212,154.9,2023-01-17,2022-07-03,Due,Unlimited,2023-09-21
213,213,187.46,2022-09-30,2022-11-15,Due,Premium,2023-06-08
214,214,64.95,2023-03-08,2023-04-12,Due,Basic,2023-07-05
215,215,152.9,2023-12-18,2023-03-06,Paid,Premium,2023-09-16
216,216,119.35,2022-11-05,2023-07-23,Due,Premium,2023-02-10
217,217,117.89,2023-08-23,2023-04-20,Paid,Premium,2023-09-17
218,218,184.18,2023-06-03,2023-11-10,Due,Unlimited,2023-09-07
219,219,69.52,2023-06-19,2022-11-16,Paid,Premium,2023-03-16
220,220,152.84,2023-03-19,2022-08-16,Due,Unlimited,2023-06-19
221,221,185.38,2022-01-22,2023-06-24,Due,Unlimited,2023-07-19
222,222,94.4,2023-07-17,2023-12-14,Due,Unlimited,2023-02-28
223,223,55.83,2023-01-16,2022-12-06,Due,Basic,2023-08-01
224,224,104.12,2022-10-31,2023-06-15,Due,Basic,2023-06-30
225,225,164.09,2022-04-24,2022-10-14,Paid,Premium,2023-04-09
226,226,65.25,2023-09-02,2023-12-07,Due,Unlimited,2023-01-06
227,227,119.07,2022-12-22,2023-01-19,Paid,Basic,2023-12-03
228,228,94.13,2022-06-25,2022-08-23,Due,Basic,2023-12-21
229,229,49.53,2023-03-31,2023-01-13,Due,Premium,2023-09-07
230,230,148.06,2022-06-08,2023-08-30,Due,Basic,2023-04-22
231,231,186.71,2022-12-16,2022-05-28,Due,Unlimited,2023-12-05
232,232,114.85,2023-10-27,2023-06-04,Paid,Unlimited,2023-07-10
233,233,59.72,2022-09-12,2022-05-17,Due,Unlimited,2023-07-28
234,234,85.08,2022-04-15,2023-10-01,Due,Basic,2023-04-08
235,235,189.0,2023-10-12,2023-01-03,Due,Unlimited,2023-01-14
236,236,183.0,2022-08-06,2022-02-22,Paid,Basic,2023-09-15
237,237,20.64,2022-08-03,2023-02-14,Paid,Unlimited,2023-06-02
238,238,74.22,2022-09-25,2022-04-03,Due,Unlimited,2023-05-03
239,239,61.22,2023-04-15,2023-01-15,Due,Unlimited,2023-04-02
240,240,36.89,2022-12-04,2023-06-30,Paid,Premium,2023-08-31
241,241,132.11,2023-11-27,2022-07-18,Due,Unlimited,2023-04-30
242,242,51.38,2022-11-17,2022-03-12,Due,Basic,2023-10-03
243,243,41.13,2022-10-09,2023-08-25,Paid,Unlimited,2023-10-30
244,244,71.9,2023-03-03,2023-01-23,Paid,Premium,2023-07-07
245,245,191.27,2023-02-08,2022-06-25,Due,Unlimited,2023-11-03
246,246,182.37,2022-09-19,2022-10-16,Due,Unlimited,2023-04-28
247,247,155.04,2023-10-19,2023-08-16,Paid,Unlimited,2023-05-25
248,248,121.23,2022-02-11,2023-06-06,Paid,Premium,2023-03-07
249,249,131.62,2023-04-08,2022-09-10,Due,Unlimited,2023-07-25
250,250,36.94,2023-03-03,2023-11-28,Paid,Basic,2023-12-12
251,251,65.38,2023-05-07,2023-01-07,Due,Basic,2023-09-24
252,252,140.09,2022-01-27,2022-08-17,Paid,Premium,2023-10-05
253,253,24.95,2022-07-14,2022-10-23,Paid,Basic,2023-05-27
254,254,82.03,2022-05-17,2022-12-01,Due,Premium,2023-04-08
255,255,117.82,2023-09-11,2023-05-17,Due,Unlimited,2023-09-18
256,256,74.35,2022-01-10,2022-12-12,Due,Premium,2023-07-08
257,257,153.62,2023-05-16,2023-07-09,Due,Premium,2023-12-23
258,258,86.88,2022-11-09,2023-01-04,Paid,Premium,2023-12-08
259,259,58.41,2023-01-01,2022-05-31,Due,Premium,2023-05-08
260,260,104.27,2023-03-23,2023-06-01,Due,Basic,2023-03-28
261,261,100.59,2022-07-04,2023-01-26,Due,Basic,2023-12-22
262,262,39.93,2023-07-15,2022-04-23,Due,Basic,2023-08-28
263,263,39.24,2023-11-03,2022-01-18,Paid,Unlimited,2023-07-11
264,264,100.19,2023-03-12,2022-12-12,Due,Premium,2023-08-11
265,265,135.71,2022-11-29,2022-02-24,Paid,Unlimited,2023-10-12
266,266,52.4,2022-09-24,2023-03-26,Due,Unlimited,2023-08-10
267,267,50.15,2023-01-16,2023-10-09,Due,Basic,2023-09-12
268,268,172.4,2023-05-15,2023-11-13,Due,Basic,2023-07-12
269,269,64.5,2023-06-30,2022-06-26,Due,Unlimited,2023-09-30
270,270,120.17,2023-10-01,2022-05-24,Paid,Basic,2023-02-23
271,271,30.33,2022-02-04,2022-01-26,Due,Premium,2023-03-17
272,272,101.2,2023-09-10,2023-07-13,Due,Premium,2023-09-22
273,273,198.42,2022-11-10,2022-12-23,Paid,Unlimited,2023-05-09
274,274,163.68,2023-09-03,2022-03-24,Paid,Unlimited,2023-08-16
275,275,158.44,2023-01-31,2023-06-28,Due,Unlimited,2023-08-13
276,276,90.33,2023-03-26,2023-01-04,Due,Premium,2023-02-22
277,277,172.35,2023-08-07,2022-11-04,Due,Basic,2023-04-19
278,278,156.15,2022-04-29,2022-07-16,Paid,Basic,2023-10-07
279,279,112.58,2022-06-03,2022-11-11,Due,Premium,2023-05-14
280,280,57.73,2022-10-05,2022-04-12,Paid,Basic,2023-10-15
281,281,32.35,2022-05-09,2023-03-11,Due,Premium,2023-11-11
282,282,112.78,2022-08-17,2022-04-26,Paid,Unlimited,2023-09-14
283,283,94.88,2023-06-13,2024-01-01,Paid,Unlimited,2023-03-20
284,284,129.91,2022-06-03,2023-09-26,Due,Unlimited,2023-10-14
285,285,188.13,2022-02-25,2022-08-23,Due,Unlimited,2023-02-17
286,286,196.99,2022-06-06,2023-10-26,Paid,Unlimited,2023-12-14
287,287,103.09,2022-10-17,2023-11-02,Due,Premium,2023-07-16
288,288,31.87,2023-08-21,2023-06-16,Due,Basic,2023-08-04
289,289,180.96,2023-10-15,2022-04-12,Due,Basic,2023-07-04
290,290,81.85,2023-01-25,2023-08-28,Paid,Unlimited,2023-05-05
291,291,175.5,2022-12-16,2022-04-30,Due,Unlimited,2023-09-14
292,292,187.84,2022-09-07,2022-11-16,Due,Premium,2023-09-30
293,293,165.18,2023-05-13,2023-01-29,Paid,Basic,2023-11-18
294,294,57.46,2023-09-29,2023-08-23,Paid,Premium,2023-10-25
295,295,57.01,2023-07-05,2022-05-08,Paid,Unlimited,2023-05-06
296,296,156.12,2022-06-27,2023-09-11,Due,Premium,2023-03-02
297,297,36.31,2023-11-13,2022-09-07,Paid,Premium,2023-02-04
298,298,118.68,2023-03-29,2023-11-15,Paid,Premium,2023-11-29
299,299,175.14,2023-09-28,2023-05-20,Paid,Premium,2023-11-02
300,300,134.46,2023-07-27,2022-09-24,Paid,Unlimited,2023-05-26
301,301,168.83,2023-11-11,2022-03-30,Due,Premium,2023-02-08
302,302,97.14,2023-06-01,2022-06-03,Paid,Premium,2023-09-07
303,303,23.14,2023-09-09,2023-08-26,Paid,Premium,2023-12-14
304,304,24.36,2023-08-05,2022-11-15,Due,Unlimited,2023-06-04
305,305,41.55,2022-10-08,2023-11-06,Due,Basic,2023-05-18
306,306,111.99,2023-12-23,2023-01-15,Paid,Unlimited,2023-04-01
307,307,119.62,2023-11-30,2023-03-03,Due,Premium,2023-02-09
308,308,106.04,2022-04-17,2022-03-06,Paid,Basic,2023-10-30
309,309,140.24,2022-06-01,2022-05-21,Paid,Unlimited,2023-03-11
310,310,112.83,2022-01-23,2022-06-17,Paid,Basic,2023-04-29
311,311,84.64,2022-01-27,2022-05-10,Due,Premium,2023-06-25
312,312,39.97,2022-11-01,2022-03-20,Paid,Basic,2023-09-04
313,313,70.81,2023-02-16,2023-01-14,Due,Basic,2023-10-16
314,314,136.97,2023-08-23,2022-06-10,Due,Unlimited,2023-01-03
315,315,39.99,2023-02-01,2022-07-29,Paid,Premium,2023-10-05
316,316,185.99,2023-10-20,2022-07-11,Due,Premium,2023-04-06
317,317,134.67,2023-09-03,2023-07-15,Paid,Unlimited,2023-11-04
318,318,197.04,2023-06-19,2022-10-02,Paid,Unlimited,2023-01-29
319,319,156.06,2022-05-26,2022-09-27,Paid,Premium,2023-01-27
320,320,117.01,2022-04-13,2023-05-29,Due,Unlimited,2023-10-16
321,321,109.4,2023-11-18,2022-07-20,Paid,Premium,2023-12-30
322,322,158.46,2023-05-30,2023-01-25,Due,Basic,2023-12-07
323,323,67.33,2022-05-18,2022-02-17,Paid,Premium,2023-04-14
324,324,144.89,2022-09-04,2022-11-03,Due,Unlimited,2023-12-24
325,325,149.08,2022-07-08,2022-02-16,Paid,Premium,2023-03-25
326,326,121.16,2023-03-14,2023-04-13,Due,Premium,2023-05-09
327,327,44.24,2022-12-20,2022-09-10,Due,Basic,2023-10-25
328,328,37.3,2023-09-20,2022-07-02,Due,Basic,2023-01-26
329,329,37.85,2022-06-05,2023-08-16,Due,Basic,2023-11-27
330,330,29.75,2023-06-05,2022-05-22,Due,Basic,2023-05-29
331,331,159.31,2022-06-30,2022-04-04,Paid,Premium,2023-05-26
332,332,154.23,2023-06-02,2023-04-04,Due,Premium,2023-03-03
333,333,143.62,2022-07-16,2022-01-24,Due,Basic,2023-01-11
334,334,152.03,2022-11-18,2023-03-03,Due,Premium,2023-03-08
335,335,119.46,2023-01-22,2022-04-12,Due,Basic,2023-12-30
336,336,69.84,2022-12-23,2022-07-26,Due,Unlimited,2023-05-28
337,337,189.59,2022-03-29,2022-07-01,Due,Unlimited,2023-06-18
338,338,67.71,2023-01-20,2022-12-20,Due,Unlimited,2023-08-24
339,339,44.44,2023-02-09,2022-02-10,Due,Premium,2023-01-08
340,340,170.22,2023-10-09,2023-01-02,Paid,Basic,2023-06-22
341,341,189.85,2022-05-01,2022-10-17,Due,Unlimited,2023-04-23
342,342,121.78,2023-03-16,2022-11-21,Paid,Unlimited,2023-02-01
343,343,158.67,2023-08-09,2024-01-10,Due,Unlimited,2023-10-18
344,344,112.07,2023-03-17,2022-04-10,Paid,Unlimited,2023-01-01
345,345,199.77,2022-02-09,2023-09-06,Paid,Unlimited,2023-06-04
346,346,149.7,2023-07-15,2022-06-01,Paid,Premium,2023-06-26
347,347,78.0,2023-08-02,2022-07-11,Due,Premium,2023-07-20
348,348,107.6,2023-05-06,2022-09-26,Paid,Unlimited,2023-06-04
349,349,39.89,2022-06-09,2022-02-10,Due,Unlimited,2023-09-23
350,350,161.23,2023-06-01,2022-08-10,Paid,Unlimited,2023-06-03
351,351,80.54,2022-07-05,2022-01-17,Paid,Basic,2023-07-10
352,352,35.92,2022-05-18,2023-01-09,Paid,Premium,2023-11-21
353,353,94.63,2023-07-12,2023-05-14,Paid,Premium,2023-09-02
354,354,46.92,2022-03-29,2023-05-03,Due,Basic,2023-04-10
355,355,164.59,2023-03-21,2022-08-09,Due,Basic,2023-12-21
356,356,142.16,2023-10-30,2023-08-02,Paid,Basic,2023-07-28
357,357,187.27,2023-10-11,2022-06-23,Due,Basic,2023-08-22
358,358,188.38,2022-11-22,2023-03-06,Due,Premium,2023-02-05
359,359,46.47,2023-05-09,2022-09-23,Due,Premium,2023-06-23
360,360,83.36,2022-10-26,2023-10-04,Paid,Basic,2023-08-09
361,361,195.46,2023-12-23,2023-01-20,Paid,Premium,2023-12-28
362,362,48.66,2023-06-02,2023-11-11,Paid,Premium,2023-02-23
363,363,171.54,2022-05-29,2023-12-04,Due,Unlimited,2023-05-04
364,364,163.28,2022-07-03,2023-07-11,Due,Premium,2023-12-21
365,365,106.48,2022-05-21,2023-12-22,Due,Unlimited,2023-09-13
366,366,26.98,2022-02-24,2023-08-10,Paid,Basic,2023-03-08
367,367,72.15,2022-05-30,2023-11-23,Due,Basic,2023-10-05
368,368,129.85,2023-03-18,2022-10-07,Paid,Unlimited,2023-08-23
369,369,24.01,2023-03-25,2023-05-26,Due,Premium,2023-01-27
370,370,104.99,2022-11-24,2023-01-22,Paid,Basic,2023-01-29
371,371,35.11,2022-04-04,2022-08-17,Paid,Basic,2023-02-23
372,372,100.71,2022-06-30,2022-03-14,Due,Unlimited,2023-12-13
373,373,31.51,2023-12-18,2023-12-27,Due,Unlimited,2023-02-02
374,374,118.61,2023-11-30,2023-10-01,Paid,Premium,2023-04-06
